instance,config,objective,bound,gap_pct,time_s,bb_nodes,total_cuts,cut_rounds,status,stderr_tail
A-n54-k7-149,SIMDI,-12492.0,-12492.0,0.0,21.758526447,156,1478,169,ok,
A-n54-k7-149,PAIRS,-12492.0,-12492.0,0.0,24.450273592,162,1441,166,ok,
A-n54-k7-149,GENDI,-12492.0,-29746.0,1.38120397054111,60.020228666,1995,2309,291,ok,
A-n54-k7-149,COMBI,-8600.0,-25236.0,1.93441860465116,60.004298931,1935,2414,300,ok,
A-n60-k9-57,SIMDI,-1000.0,-22773.0,21.773,60.009946662,1307,1636,196,ok,
A-n60-k9-57,PAIRS,-1000.0,-37171.0,36.171,60.008234659,639,1307,149,ok,
A-n60-k9-57,GENDI,-1000.0,-33958.0,32.958,60.018619278,832,1528,193,ok,
A-n60-k9-57,COMBI,-1000.0,-33419.0,32.419,60.005597312,791,1455,177,ok,
A-n61-k9-80,SIMDI,-23549.0,-23549.0,0.0,24.866053418,235,1083,146,ok,
A-n61-k9-80,PAIRS,-23549.0,-23549.0,0.0,23.463476762,274,1640,199,ok,
A-n61-k9-80,GENDI,-23549.0,-23549.0,0.0,17.057891777,226,1292,157,ok,
A-n61-k9-80,COMBI,-23549.0,-23549.0,0.0,21.444033971,269,1340,176,ok,
A-n62-k8-99,SIMDI,-33146.0,-56480.0,0.703976347074742,60.01678361,330,1295,149,ok,
A-n62-k8-99,PAIRS,-23211.0,-62558.0,1.69518762655637,60.0355578,102,1005,111,ok,
A-n62-k8-99,GENDI,-23211.0,-62558.0,1.69518762655637,60.032595326,94,935,104,ok,
A-n62-k8-99,COMBI,-29652.0,-62558.0,1.10973964656681,60.065198287,156,1160,130,ok,
A-n63-k10-44,SIMDI,-32561.0,-32561.0,0.0,23.966441329,37,1018,134,ok,
A-n63-k10-44,PAIRS,-32561.0,-32561.0,0.0,27.916598583,35,1014,134,ok,
A-n63-k10-44,GENDI,-30742.0,-30742.0,0.0,19.349145253,43,854,100,ok,
A-n63-k10-44,COMBI,-30742.0,-30742.0,0.0,17.380721984,43,854,100,ok,
A-n63-k9-157,SIMDI,-24189.0,-24189.0,0.0,24.649205738,25,995,131,ok,
A-n63-k9-157,PAIRS,-24189.0,-24189.0,0.0,24.708536748,23,925,121,ok,
A-n63-k9-157,GENDI,-24189.0,-24189.0,0.0,33.9986033,19,938,118,ok,
A-n63-k9-157,COMBI,-24189.0,-24189.0,0.0,21.556963049,32,928,122,ok,
A-n64-k9-45,SIMDI,-49701.0,-69168.0,0.391682259914196,60.026172724,428,1300,147,ok,
A-n64-k9-45,PAIRS,-50550.0,-50550.0,0.0,59.13038666,254,1260,143,ok,
A-n64-k9-45,GENDI,-50550.0,-50550.0,0.0,56.938273822,135,1377,153,ok,
A-n64-k9-45,COMBI,-50550.0,-69168.0,0.368308605341222,60.023079279,497,1335,154,ok,
A-n65-k9-10,SIMDI,-42835.0,-42835.0,0.0,13.004874159,9,1200,155,ok,
A-n65-k9-10,PAIRS,-42835.0,-42835.0,0.0,11.916093373,9,1107,142,ok,
A-n65-k9-10,GENDI,-42835.0,-42835.0,0.0,15.7350672,9,1152,152,ok,
A-n65-k9-10,COMBI,-42835.0,-42835.0,0.0,20.2332006,9,1152,152,ok,
A-n69-k9-42,SIMDI,-43290.0,-43290.0,0.0,9.689776265,5,970,116,ok,
A-n69-k9-42,PAIRS,-43290.0,-43290.0,0.0,9.868515868,5,970,116,ok,
A-n69-k9-42,GENDI,-43290.0,-43290.0,0.0,8.569766989,5,970,116,ok,
A-n69-k9-42,COMBI,-43290.0,-43290.0,0.0,9.796214208,5,970,116,ok,
A-n80-k10-14,SIMDI,-67974.0,-169104.0,1.48777473739959,60.027298323,705,1370,172,ok,
A-n80-k10-14,PAIRS,-68483.0,-170556.0,1.49048669012748,60.09992113,431,1075,132,ok,
A-n80-k10-14,GENDI,-62934.0,-170556.0,1.71007722375822,60.020390077,405,1045,129,ok,
A-n80-k10-14,COMBI,-66934.0,-170556.0,1.54812203065707,60.198693445,442,1305,155,ok,
B-n45-k6-54,SIMDI,-74278.0,-74285.0,9.424055573944e-05,17.905373097,189,844,101,ok,
B-n45-k6-54,PAIRS,-74278.0,-74278.0,0.0,20.950329419,414,1152,152,ok,
B-n45-k6-54,GENDI,-68415.0,-68415.0,0.0,16.129596057,616,1146,139,ok,
B-n45-k6-54,COMBI,-74278.0,-74278.0,0.0,20.946956603,323,1077,140,ok,
B-n50-k8-40,SIMDI,-12832.0,-12832.0,0.0,18.697301743,48,1021,113,ok,
B-n50-k8-40,PAIRS,-12832.0,-12832.0,0.0,55.891527425,1858,2234,250,ok,
B-n50-k8-40,GENDI,-5091.0,-29716.0,4.83696719701434,60.012451306,1227,1819,226,ok,
B-n50-k8-40,COMBI,-12832.0,-12832.0,0.0,59.454670892,1775,2252,260,ok,
B-n52-k7-15,SIMDI,-74998.0,-74998.0,0.0,11.790169924,207,1167,131,ok,
B-n52-k7-15,PAIRS,-74998.0,-74998.0,0.0,11.143026947,209,1152,130,ok,
B-n52-k7-15,GENDI,-74998.0,-74998.0,0.0,9.318999803,95,1189,145,ok,
B-n52-k7-15,COMBI,-74998.0,-74998.0,0.0,10.480869592,80,1228,146,ok,
B-n57-k7-20,SIMDI,-867154.0,-867154.0,0.0,6.186558647,3,875,98,ok,
B-n57-k7-20,PAIRS,-867154.0,-867154.0,0.0,5.935647246,3,875,98,ok,
B-n57-k7-20,GENDI,-867154.0,-867154.0,0.0,5.686917845,2,875,98,ok,
B-n57-k7-20,COMBI,-867154.0,-867154.0,0.0,5.704048545,2,875,98,ok,
B-n66-k9-50,SIMDI,-1824.0,-79171.0,42.4051535087806,60.059400256,622,1685,186,ok,
B-n66-k9-50,PAIRS,-1544.0,-79171.0,50.2765544083388,60.013477202,515,1791,197,ok,
B-n66-k9-50,GENDI,,,,60.036670955,385,1510,172,ok,
B-n66-k9-50,COMBI,-6764.0,-77317.0,10.430662329982,60.031682702,569,1751,193,ok,
B-n67-k10-26,SIMDI,-21924.0,-21924.0,0.0,7.047951197,9,1062,137,ok,
B-n67-k10-26,PAIRS,-21924.0,-21924.0,0.0,6.659841759,12,1063,137,ok,
B-n67-k10-26,GENDI,-21924.0,-21924.0,0.0,6.495135879,9,1059,134,ok,
B-n67-k10-26,COMBI,-21924.0,-21924.0,0.0,6.262101437,10,1059,134,ok,
B-n68-k9-65,SIMDI,-21003.0,-110395.786390212,4.25619132458276,60.004734284,1213,1250,146,ok,
B-n68-k9-65,PAIRS,-17880.0,-110395.0,5.17421700223714,60.017555963,670,1430,178,ok,
B-n68-k9-65,GENDI,-28247.0,-110395.0,2.90820264098842,60.074979459,835,1305,155,ok,
B-n68-k9-65,COMBI,-17880.0,-110395.0,5.17421700223714,60.076531215,420,1135,138,ok,
B-n78-k10-70,SIMDI,-42666.0,-60888.0,0.427084798199972,60.012609817,37,1165,127,ok,
B-n78-k10-70,PAIRS,-42666.0,-60480.0,0.417522148783575,60.048403659,99,1295,140,ok,
B-n78-k10-70,GENDI,-43777.0,-56815.0,0.29782762637915,60.01361136,128,1565,167,ok,
B-n78-k10-70,COMBI,-43777.0,-61731.0,0.410124037737274,60.010216798,140,1511,162,ok,
E-n101-k14-158,SIMDI,-2386.0,-14884.0,5.23805532271501,60.033758129,17,1258,138,ok,
E-n101-k14-158,PAIRS,-2386.0,-14741.0,5.17812238055241,60.05338719,20,1258,138,ok,
E-n101-k14-158,GENDI,-2386.0,-14884.0,5.23805532271501,60.05552739,20,1258,138,ok,
E-n101-k14-158,COMBI,-2386.0,-14884.0,5.23805532271501,60.043348084,27,1258,138,ok,
E-n101-k8-291,SIMDI,-4266.0,-4986.0,0.168776371308009,60.028249758,532,1628,216,ok,
E-n101-k8-291,PAIRS,-4266.0,-4266.0,0.0,56.202659962,380,1398,187,ok,
E-n101-k8-291,GENDI,-3371.0,-6488.0,0.924651438742213,60.028887602,468,953,136,ok,
E-n101-k8-291,COMBI,-3371.0,-6488.0,0.924651438742213,60.01029455,422,1087,147,ok,
E-n76-k10-72,SIMDI,-25241.0,-25241.0,0.0,25.941340041,38,1004,130,ok,
E-n76-k10-72,PAIRS,-25241.0,-25241.0,0.0,29.393876209,101,1157,143,ok,
E-n76-k10-72,GENDI,-25241.0,-25241.0,0.0,29.71871277,122,1085,136,ok,
E-n76-k10-72,COMBI,-25241.0,-25241.0,0.0,27.322387254,123,1030,130,ok,
E-n76-k14-102,SIMDI,-0.0,-13253.0,103494672821722.0,60.007955847,581,1060,173,ok,
E-n76-k14-102,PAIRS,-1.0,-12570.0,12569.0,60.007939764,589,972,161,ok,
E-n76-k14-102,GENDI,-1.0,-13451.0,13450.0,60.004130128,425,965,144,ok,
E-n76-k14-102,COMBI,-1.0,-12985.0,12983.9999998727,60.008465654,432,1217,181,ok,
E-n76-k15-40,SIMDI,-1.0,-11950.0,11948.9999999457,60.005484982,757,1357,200,ok,
E-n76-k15-40,PAIRS,-1.0,-11000.0,10999.000000012,60.013821123,360,1089,175,ok,
E-n76-k15-40,GENDI,-0.0,-12545.0,16560128249635.9,60.015715206,432,1367,192,ok,
E-n76-k15-40,COMBI,-0.0,-12960.0,3123520543525.7,60.022275866,574,1288,177,ok,
E-n76-k7-44,SIMDI,-22214.0,-22214.0,0.0,14.86891932,27,976,116,ok,
E-n76-k7-44,PAIRS,-22214.0,-22214.0,0.0,12.192204058,25,976,116,ok,
E-n76-k7-44,GENDI,-22005.0,-22005.0,0.0,12.204745243,20,976,116,ok,
E-n76-k7-44,COMBI,-21690.0,-21690.0,0.0,14.155543688,25,976,116,ok,
G-n262-k25-316,SIMDI,-1174017.0,-1439970.0,0.226532494844623,60.222341008,0,1210,121,ok,
G-n262-k25-316,PAIRS,-1174017.0,-1444299.0,0.230219834976836,60.032067668,0,1090,109,ok,
G-n262-k25-316,GENDI,-1174017.0,-1439628.0,0.226241187308191,60.030031846,0,1220,122,ok,
G-n262-k25-316,COMBI,-1174017.0,-1439119.0,0.225807633109231,60.153448454,0,1240,124,ok,
M-n101-k10-97,SIMDI,-32628.0,-32628.0,0.0,36.124200661,441,2130,234,ok,
M-n101-k10-97,PAIRS,-30628.0,-30628.0,0.0,39.491225489,688,1863,211,ok,
M-n101-k10-97,GENDI,-31306.0,-35116.0,0.121701910176961,60.037756359,1021,1703,199,ok,
M-n101-k10-97,COMBI,-30918.0,-40493.0,0.309690148133774,60.050317927,764,1729,189,ok,
M-n121-k7-260,SIMDI,-94433.0,-188144.0,0.992354367646903,60.049247111,18,1775,188,ok,
M-n121-k7-260,PAIRS,-94433.0,-188144.0,0.992354367646903,60.036415539,17,1775,188,ok,
M-n121-k7-260,GENDI,-94433.0,-188144.0,0.992354367646903,60.035726299,13,1775,188,ok,
M-n121-k7-260,COMBI,-94433.0,-188144.0,0.992354367646903,60.085929189,11,1775,188,ok,
M-n151-k12-15,SIMDI,-65193.0,-100215.0,0.537204914638075,60.110412461,201,1510,165,ok,
M-n151-k12-15,PAIRS,-65193.0,-100146.0,0.53614651879803,60.850798579,203,1540,168,ok,
M-n151-k12-15,GENDI,-65193.0,-100146.0,0.53614651879803,60.128339844,153,1160,130,ok,
M-n151-k12-15,COMBI,-65193.0,-100146.0,0.53614651879803,60.083521795,149,1160,130,ok,
M-n200-k16-143,SIMDI,-198792.0,-198792.0,0.0,20.650934641,1,983,102,ok,
